explanation_id,project_id,risk_score,top_delay_driver,driver_contribution_pct,recommended_action
EXP-000050,PRJ-01806,19.0,Rehabilitation delay,9.6,Accelerate rehabilitation workflow
EXP-000051,PRJ-00820,22.6,Legal dispute,7.7,Escalate legal review
EXP-000052,PRJ-02500,9.4,Pending approvals,5.0,Continue routine monitoring
EXP-000053,PRJ-00047,41.3,Compensation delay,22.4,Prioritize compensation processing
EXP-000054,PRJ-03928,10.8,Pending approvals,5.6,Continue routine monitoring
EXP-000055,PRJ-04413,9.2,Notification pending,5.0,Continue routine monitoring
EXP-000056,PRJ-03966,29.3,Incomplete documentation,13.0,Complete document verification
EXP-000057,PRJ-03783,62.3,Legal dispute,19.8,Escalate legal review
EXP-000058,PRJ-02071,27.3,Rehabilitation delay,10.1,Accelerate rehabilitation workflow
EXP-000059,PRJ-00121,40.4,Compensation delay,19.8,Prioritize compensation processing
EXP-000060,PRJ-04700,11.9,Pending approvals,5.0,Continue routine monitoring
EXP-000061,PRJ-03565,12.0,Pending approvals,5.0,Continue routine monitoring
EXP-000062,PRJ-03350,17.9,Pending approvals,7.3,Escalate pending approval
EXP-000063,PRJ-00147,22.0,Pending approvals,11.2,Escalate pending approval
EXP-000064,PRJ-02660,18.6,Possession pending,9.2,Continue routine monitoring
EXP-000065,PRJ-01864,66.5,Compensation delay,23.2,Escalate legal review
EXP-000066,PRJ-03686,30.1,Legal dispute,8.2,Escalate legal review
EXP-000067,PRJ-02172,13.3,Pending approvals,6.8,Continue routine monitoring
EXP-000068,PRJ-04680,8.2,Pending approvals,5.0,Continue routine monitoring
EXP-000069,PRJ-02050,15.7,Rehabilitation delay,5.7,Accelerate rehabilitation workflow
EXP-000070,PRJ-02802,20.3,Compensation delay,6.7,Prioritize compensation processing
EXP-000071,PRJ-02479,16.0,Notification pending,7.8,Continue routine monitoring
EXP-000072,PRJ-01712,22.7,Notification pending,10.6,Continue routine monitoring
EXP-000073,PRJ-01340,10.0,Pending approvals,5.0,Continue routine monitoring
EXP-000074,PRJ-03519,26.1,Incomplete documentation,7.4,Complete document verification
EXP-000075,PRJ-01645,63.7,Pending approvals,29.3,Escalate legal review
EXP-000076,PRJ-02849,28.8,Incomplete documentation,10.3,Complete document verification
EXP-000077,PRJ-03824,26.3,Compensation delay,12.0,Prioritize compensation processing
EXP-000078,PRJ-00512,27.4,Pending approvals,13.2,Escalate pending approval
EXP-000079,PRJ-04561,27.2,Notification pending,9.4,Continue routine monitoring
EXP-000080,PRJ-04797,29.0,Incomplete documentation,13.3,Complete document verification
EXP-000081,PRJ-02034,21.9,Stakeholder bottleneck,11.4,Continue routine monitoring
EXP-000082,PRJ-00257,27.4,Legal dispute,13.8,Escalate legal review
EXP-000083,PRJ-01799,15.7,Rehabilitation delay,7.8,Accelerate rehabilitation workflow
EXP-000084,PRJ-04788,12.4,Pending approvals,5.0,Continue routine monitoring
EXP-000085,PRJ-05000,15.9,Pending approvals,5.3,Continue routine monitoring
EXP-000086,PRJ-04508,12.4,Pending approvals,5.0,Continue routine monitoring
EXP-000087,PRJ-03416,17.3,Pending approvals,9.0,Escalate pending approval
EXP-000088,PRJ-01202,31.0,Compensation delay,8.5,Prioritize compensation processing
EXP-000089,PRJ-03292,11.0,Pending approvals,5.4,Continue routine monitoring
EXP-000090,PRJ-04515,9.1,Pending approvals,5.0,Continue routine monitoring
EXP-000091,PRJ-01732,22.5,Compensation delay,8.6,Prioritize compensation processing
EXP-000092,PRJ-00888,36.2,Pending approvals,17.3,Escalate pending approval
EXP-000093,PRJ-04229,74.2,Compensation delay,37.6,Escalate legal review
EXP-000094,PRJ-02831,15.9,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000095,PRJ-00990,32.6,Legal dispute,9.9,Escalate legal review
EXP-000096,PRJ-00531,15.0,Pending approvals,6.0,Continue routine monitoring
EXP-000097,PRJ-03614,13.2,Pending approvals,5.0,Continue routine monitoring
EXP-000098,PRJ-02708,9.3,Pending approvals,5.0,Continue routine monitoring
EXP-000099,PRJ-04351,16.6,Stakeholder bottleneck,8.3,Continue routine monitoring
EXP-000100,PRJ-01319,13.7,Stakeholder bottleneck,5.4,Continue routine monitoring
EXP-000101,PRJ-01892,37.6,Pending approvals,17.5,Escalate legal review
EXP-000102,PRJ-00304,46.2,Compensation delay,22.0,Prioritize compensation processing
EXP-000103,PRJ-03769,13.5,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000104,PRJ-03422,52.1,Pending approvals,26.6,Complete document verification
EXP-000105,PRJ-03141,14.7,Pending approvals,5.0,Continue routine monitoring
EXP-000106,PRJ-03007,10.1,Pending approvals,5.0,Continue routine monitoring
EXP-000107,PRJ-00619,32.4,Compensation delay,13.6,Prioritize compensation processing
EXP-000108,PRJ-01462,12.6,Pending approvals,5.9,Continue routine monitoring
EXP-000109,PRJ-02996,3.5,Pending approvals,5.0,Continue routine monitoring
EXP-000110,PRJ-03400,6.9,Pending approvals,5.0,Continue routine monitoring
EXP-000111,PRJ-04381,17.3,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000112,PRJ-03352,12.1,Pending approvals,5.0,Escalate pending approval
EXP-000113,PRJ-00667,14.2,Notification pending,7.0,Continue routine monitoring
EXP-000114,PRJ-04940,11.7,Pending approvals,5.0,Continue routine monitoring
EXP-000115,PRJ-02944,7.4,Pending approvals,5.0,Continue routine monitoring
EXP-000116,PRJ-01380,19.0,Compensation delay,5.1,Prioritize compensation processing
EXP-000117,PRJ-02461,20.6,Compensation delay,6.1,Prioritize compensation processing
EXP-000118,PRJ-03045,20.2,Compensation delay,5.1,Prioritize compensation processing
EXP-000119,PRJ-02096,14.5,Pending approvals,6.5,Continue routine monitoring
EXP-000120,PRJ-01505,7.4,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000121,PRJ-04125,28.1,Compensation delay,15.4,Prioritize compensation processing
EXP-000122,PRJ-03675,16.0,Stakeholder bottleneck,8.2,Continue routine monitoring
EXP-000123,PRJ-02749,32.4,Pending approvals,10.3,Escalate pending approval
EXP-000124,PRJ-00261,39.1,Pending approvals,21.0,Complete document verification
EXP-000125,PRJ-02735,8.8,Pending approvals,5.0,Continue routine monitoring
EXP-000126,PRJ-01922,11.4,Pending approvals,5.0,Continue routine monitoring
EXP-000127,PRJ-02823,12.9,Pending approvals,5.0,Continue routine monitoring
EXP-000128,PRJ-03896,32.8,Compensation delay,17.9,Prioritize compensation processing
EXP-000129,PRJ-04847,6.6,Pending approvals,5.0,Continue routine monitoring
EXP-000130,PRJ-00526,12.9,Possession pending,5.0,Continue routine monitoring
EXP-000131,PRJ-00850,51.8,Pending approvals,18.9,Complete document verification
EXP-000132,PRJ-03360,16.3,Stakeholder bottleneck,8.7,Continue routine monitoring
EXP-000133,PRJ-03598,35.5,Legal dispute,15.3,Escalate legal review
EXP-000134,PRJ-00172,11.9,Pending approvals,5.3,Continue routine monitoring
EXP-000135,PRJ-03342,17.7,Compensation delay,6.8,Prioritize compensation processing
EXP-000136,PRJ-00101,15.1,Compensation delay,8.2,Prioritize compensation processing
EXP-000137,PRJ-02227,7.2,Pending approvals,5.0,Continue routine monitoring
EXP-000138,PRJ-02372,11.5,Pending approvals,5.0,Continue routine monitoring
EXP-000139,PRJ-03477,23.9,Compensation delay,12.3,Prioritize compensation processing
EXP-000140,PRJ-04735,8.3,Pending approvals,5.0,Continue routine monitoring
EXP-000141,PRJ-00377,10.1,Notification pending,5.0,Continue routine monitoring
EXP-000142,PRJ-01771,15.7,Possession pending,5.4,Continue routine monitoring
EXP-000143,PRJ-02920,13.0,Pending approvals,5.0,Continue routine monitoring
EXP-000144,PRJ-04231,9.0,Pending approvals,5.0,Continue routine monitoring
EXP-000145,PRJ-04388,20.1,Pending approvals,7.7,Escalate pending approval
EXP-000146,PRJ-03550,10.8,Pending approvals,5.0,Continue routine monitoring
EXP-000147,PRJ-01637,21.6,Rehabilitation delay,6.4,Accelerate rehabilitation workflow
EXP-000148,PRJ-02217,8.7,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000149,PRJ-01964,15.2,Rehabilitation delay,5.0,Accelerate rehabilitation workflow
EXP-000150,PRJ-04450,48.5,Compensation delay,17.1,Escalate legal review
EXP-000151,PRJ-02554,14.7,Notification pending,5.0,Continue routine monitoring
EXP-000152,PRJ-00755,8.8,Pending approvals,5.0,Continue routine monitoring
EXP-000153,PRJ-04553,35.6,Compensation delay,9.5,Prioritize compensation processing
EXP-000154,PRJ-01387,34.2,Compensation delay,17.4,Prioritize compensation processing
EXP-000155,PRJ-00365,17.0,Stakeholder bottleneck,8.0,Continue routine monitoring
EXP-000156,PRJ-03924,31.7,Legal dispute,12.1,Escalate legal review
EXP-000157,PRJ-04125,9.4,Pending approvals,5.0,Continue routine monitoring
EXP-000158,PRJ-03453,16.8,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000159,PRJ-02316,10.4,Pending approvals,5.0,Continue routine monitoring
EXP-000160,PRJ-02032,6.6,Pending approvals,5.0,Continue routine monitoring
EXP-000161,PRJ-02630,16.0,Notification pending,5.3,Continue routine monitoring
EXP-000162,PRJ-04312,19.1,Incomplete documentation,8.3,Complete document verification
EXP-000163,PRJ-01155,13.2,Stakeholder bottleneck,5.6,Continue routine monitoring
EXP-000164,PRJ-04808,18.0,Legal dispute,8.4,Escalate legal review
EXP-000165,PRJ-00409,22.6,Stakeholder bottleneck,10.8,Continue routine monitoring
EXP-000166,PRJ-04570,9.6,Pending approvals,5.0,Continue routine monitoring
EXP-000167,PRJ-00050,25.3,Incomplete documentation,13.6,Complete document verification
EXP-000168,PRJ-03284,60.5,Compensation delay,17.8,Prioritize compensation processing
EXP-000169,PRJ-03253,13.5,Pending approvals,6.6,Continue routine monitoring
EXP-000170,PRJ-00324,12.4,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000171,PRJ-02275,11.8,Pending approvals,5.0,Continue routine monitoring
EXP-000172,PRJ-03989,24.4,Compensation delay,9.9,Prioritize compensation processing
EXP-000173,PRJ-01046,5.9,Pending approvals,5.0,Continue routine monitoring
EXP-000174,PRJ-00649,9.4,Pending approvals,5.0,Continue routine monitoring
EXP-000175,PRJ-01370,32.0,Pending approvals,17.4,Escalate legal review
EXP-000176,PRJ-00805,7.8,Pending approvals,5.0,Continue routine monitoring
EXP-000177,PRJ-01275,7.7,Pending approvals,5.0,Continue routine monitoring
EXP-000178,PRJ-04538,10.6,Pending approvals,5.6,Continue routine monitoring
EXP-000179,PRJ-00534,9.1,Pending approvals,5.0,Continue routine monitoring
EXP-000180,PRJ-04982,33.4,Compensation delay,18.4,Prioritize compensation processing
EXP-000181,PRJ-04061,19.9,Rehabilitation delay,8.0,Accelerate rehabilitation workflow
EXP-000182,PRJ-01768,10.9,Pending approvals,5.0,Continue routine monitoring
EXP-000183,PRJ-04582,7.0,Pending approvals,5.0,Continue routine monitoring
EXP-000184,PRJ-01169,31.5,Compensation delay,17.1,Prioritize compensation processing
EXP-000185,PRJ-04180,13.9,Rehabilitation delay,7.4,Accelerate rehabilitation workflow
EXP-000186,PRJ-02074,37.9,Pending approvals,15.2,Prioritize compensation processing
EXP-000187,PRJ-01914,17.0,Pending approvals,5.5,Continue routine monitoring
EXP-000188,PRJ-00167,32.8,Legal dispute,12.0,Escalate legal review
EXP-000189,PRJ-03751,23.5,Rehabilitation delay,10.9,Accelerate rehabilitation workflow
EXP-000190,PRJ-03034,16.5,Possession pending,5.8,Continue routine monitoring
EXP-000191,PRJ-04412,7.5,Pending approvals,5.0,Continue routine monitoring
EXP-000192,PRJ-03493,9.8,Pending approvals,5.0,Continue routine monitoring
EXP-000193,PRJ-02526,7.2,Pending approvals,5.0,Continue routine monitoring
EXP-000194,PRJ-00930,19.1,Stakeholder bottleneck,5.6,Continue routine monitoring
EXP-000195,PRJ-03196,8.0,Pending approvals,5.0,Continue routine monitoring
EXP-000196,PRJ-04345,19.4,Rehabilitation delay,8.1,Accelerate rehabilitation workflow
EXP-000197,PRJ-03204,11.7,Pending approvals,6.4,Continue routine monitoring
EXP-000198,PRJ-00980,9.5,Pending approvals,5.0,Continue routine monitoring
EXP-000199,PRJ-04709,16.3,Compensation delay,8.7,Prioritize compensation processing
EXP-000200,PRJ-04527,17.9,Incomplete documentation,7.7,Complete document verification
EXP-000201,PRJ-02653,11.0,Pending approvals,5.0,Continue routine monitoring
EXP-000202,PRJ-01381,40.2,Legal dispute,15.5,Escalate legal review
EXP-000203,PRJ-01143,8.2,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000204,PRJ-03600,19.4,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000205,PRJ-03265,26.4,Compensation delay,8.2,Prioritize compensation processing
EXP-000206,PRJ-03135,27.7,Pending approvals,14.1,Complete document verification
EXP-000207,PRJ-03599,13.1,Stakeholder bottleneck,6.7,Continue routine monitoring
EXP-000208,PRJ-03298,16.8,Compensation delay,7.7,Prioritize compensation processing
EXP-000209,PRJ-01487,13.2,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000210,PRJ-04616,18.9,Legal dispute,7.8,Escalate legal review
EXP-000211,PRJ-03688,14.7,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000212,PRJ-03733,28.7,Compensation delay,14.7,Prioritize compensation processing
EXP-000213,PRJ-02569,14.9,Compensation delay,5.0,Prioritize compensation processing
EXP-000214,PRJ-01767,14.1,Possession pending,5.0,Continue routine monitoring
EXP-000215,PRJ-02155,26.6,Incomplete documentation,7.2,Complete document verification
EXP-000216,PRJ-03206,8.5,Pending approvals,5.0,Continue routine monitoring
EXP-000217,PRJ-04503,44.6,Pending approvals,18.5,Escalate legal review
EXP-000218,PRJ-03379,9.0,Pending approvals,5.0,Continue routine monitoring
EXP-000219,PRJ-01925,12.0,Pending approvals,5.0,Continue routine monitoring
EXP-000220,PRJ-02195,15.0,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000221,PRJ-04609,10.4,Pending approvals,5.0,Continue routine monitoring
EXP-000222,PRJ-04093,48.3,Pending approvals,13.2,Escalate legal review
EXP-000223,PRJ-03252,39.2,Legal dispute,19.2,Escalate legal review
EXP-000224,PRJ-03740,31.0,Pending approvals,13.9,Escalate pending approval
EXP-000225,PRJ-01637,7.6,Pending approvals,5.0,Continue routine monitoring
EXP-000226,PRJ-03901,56.6,Legal dispute,30.8,Escalate legal review
EXP-000227,PRJ-01263,13.2,Pending approvals,5.0,Escalate pending approval
EXP-000228,PRJ-00255,10.1,Pending approvals,5.0,Continue routine monitoring
EXP-000229,PRJ-03543,15.2,Possession pending,6.0,Continue routine monitoring
EXP-000230,PRJ-02700,18.4,Rehabilitation delay,6.3,Accelerate rehabilitation workflow
EXP-000231,PRJ-00864,14.8,Pending approvals,5.0,Continue routine monitoring
EXP-000232,PRJ-00215,34.6,Compensation delay,11.4,Prioritize compensation processing
EXP-000233,PRJ-00906,16.3,Rehabilitation delay,8.6,Accelerate rehabilitation workflow
EXP-000234,PRJ-03088,13.2,Pending approvals,5.0,Escalate pending approval
EXP-000235,PRJ-04713,13.3,Possession pending,5.0,Continue routine monitoring
EXP-000236,PRJ-01926,13.6,Pending approvals,7.3,Continue routine monitoring
EXP-000237,PRJ-03993,11.4,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000238,PRJ-02235,12.4,Pending approvals,5.0,Continue routine monitoring
EXP-000239,PRJ-00057,14.6,Rehabilitation delay,7.8,Accelerate rehabilitation workflow
EXP-000240,PRJ-01381,12.1,Pending approvals,6.4,Continue routine monitoring
EXP-000241,PRJ-02267,23.3,Stakeholder bottleneck,7.3,Continue routine monitoring
EXP-000242,PRJ-03314,9.7,Pending approvals,5.1,Continue routine monitoring
EXP-000243,PRJ-00652,4.2,Pending approvals,5.0,Continue routine monitoring
EXP-000244,PRJ-03030,18.2,Incomplete documentation,5.2,Complete document verification
EXP-000245,PRJ-02294,40.9,Legal dispute,14.4,Escalate legal review
EXP-000246,PRJ-01755,41.1,Compensation delay,14.1,Prioritize compensation processing
EXP-000247,PRJ-03096,13.0,Pending approvals,5.0,Continue routine monitoring
EXP-000248,PRJ-00178,9.0,Pending approvals,5.0,Continue routine monitoring
EXP-000249,PRJ-04920,14.5,Notification pending,5.0,Continue routine monitoring
EXP-000250,PRJ-02905,22.0,Incomplete documentation,11.3,Complete document verification
EXP-000251,PRJ-04148,19.9,Rehabilitation delay,8.3,Accelerate rehabilitation workflow
EXP-000252,PRJ-02204,9.8,Pending approvals,5.0,Continue routine monitoring
EXP-000253,PRJ-02052,17.1,Pending approvals,6.2,Continue routine monitoring
EXP-000254,PRJ-03416,15.8,Rehabilitation delay,5.0,Accelerate rehabilitation workflow
EXP-000255,PRJ-04192,13.3,Pending approvals,5.0,Continue routine monitoring
EXP-000256,PRJ-02077,21.5,Compensation delay,10.1,Prioritize compensation processing
EXP-000257,PRJ-00125,4.8,Pending approvals,5.0,Continue routine monitoring
EXP-000258,PRJ-04711,13.6,Pending approvals,5.5,Escalate pending approval
EXP-000259,PRJ-05000,41.4,Compensation delay,20.7,Escalate legal review
EXP-000260,PRJ-04560,18.4,Incomplete documentation,9.0,Complete document verification
EXP-000261,PRJ-01543,10.2,Possession pending,5.0,Continue routine monitoring
EXP-000262,PRJ-01967,20.9,Compensation delay,8.2,Prioritize compensation processing
EXP-000263,PRJ-04758,17.6,Rehabilitation delay,5.0,Accelerate rehabilitation workflow
EXP-000264,PRJ-04238,35.0,Pending approvals,9.7,Escalate pending approval
EXP-000265,PRJ-04912,9.3,Pending approvals,5.0,Continue routine monitoring
EXP-000266,PRJ-00046,29.0,Incomplete documentation,14.5,Complete document verification
EXP-000267,PRJ-02266,14.3,Pending approvals,5.3,Escalate pending approval
EXP-000268,PRJ-03538,13.2,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000269,PRJ-03568,19.6,Notification pending,5.1,Continue routine monitoring
EXP-000270,PRJ-04073,13.2,Pending approvals,6.6,Continue routine monitoring
EXP-000271,PRJ-03871,12.1,Pending approvals,5.2,Continue routine monitoring
EXP-000272,PRJ-02200,32.2,Pending approvals,8.3,Escalate pending approval
EXP-000273,PRJ-01084,21.4,Compensation delay,11.2,Prioritize compensation processing
EXP-000274,PRJ-03868,10.0,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000275,PRJ-04002,25.7,Compensation delay,7.2,Prioritize compensation processing
EXP-000276,PRJ-04722,13.1,Pending approvals,7.2,Continue routine monitoring
EXP-000277,PRJ-01411,3.8,Pending approvals,5.0,Continue routine monitoring
EXP-000278,PRJ-00115,19.5,Notification pending,8.6,Continue routine monitoring
EXP-000279,PRJ-04353,28.4,Compensation delay,10.6,Prioritize compensation processing
EXP-000280,PRJ-02366,16.1,Pending approvals,8.7,Escalate pending approval
EXP-000281,PRJ-03667,14.1,Pending approvals,5.0,Continue routine monitoring
EXP-000282,PRJ-04338,20.5,Notification pending,8.9,Continue routine monitoring
EXP-000283,PRJ-01711,70.1,Pending approvals,17.8,Escalate legal review
EXP-000284,PRJ-03678,10.6,Pending approvals,5.0,Continue routine monitoring
EXP-000285,PRJ-00643,24.7,Legal dispute,11.5,Escalate legal review
EXP-000286,PRJ-04225,15.4,Notification pending,5.0,Continue routine monitoring
EXP-000287,PRJ-04217,13.0,Pending approvals,5.0,Continue routine monitoring
EXP-000288,PRJ-01105,12.0,Pending approvals,5.0,Continue routine monitoring
EXP-000289,PRJ-01970,11.9,Pending approvals,5.0,Continue routine monitoring
EXP-000290,PRJ-03763,28.0,Compensation delay,8.8,Prioritize compensation processing
EXP-000291,PRJ-04558,35.3,Pending approvals,16.7,Escalate legal review
EXP-000292,PRJ-04186,36.8,Pending approvals,13.1,Prioritize compensation processing
EXP-000293,PRJ-02873,9.6,Pending approvals,5.0,Continue routine monitoring
EXP-000294,PRJ-02293,8.7,Pending approvals,5.0,Continue routine monitoring
EXP-000295,PRJ-04894,13.6,Pending approvals,7.3,Continue routine monitoring
EXP-000296,PRJ-04803,10.8,Pending approvals,5.0,Escalate pending approval
EXP-000297,PRJ-00144,9.5,Pending approvals,5.0,Continue routine monitoring
EXP-000298,PRJ-01599,19.6,Compensation delay,10.2,Prioritize compensation processing
EXP-000299,PRJ-00026,15.2,Compensation delay,6.2,Prioritize compensation processing
EXP-000300,PRJ-03427,10.3,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000301,PRJ-00585,15.7,Stakeholder bottleneck,5.6,Continue routine monitoring
EXP-000302,PRJ-03615,19.7,Rehabilitation delay,6.7,Accelerate rehabilitation workflow
EXP-000303,PRJ-01532,8.3,Pending approvals,5.0,Continue routine monitoring
EXP-000304,PRJ-02728,23.8,Incomplete documentation,12.6,Complete document verification
EXP-000305,PRJ-02894,42.3,Legal dispute,16.9,Escalate legal review
EXP-000306,PRJ-04118,19.6,Pending approvals,10.1,Continue routine monitoring
EXP-000307,PRJ-01803,28.7,Pending approvals,14.9,Escalate pending approval
EXP-000308,PRJ-04510,11.5,Pending approvals,5.0,Continue routine monitoring
EXP-000309,PRJ-04938,13.8,Pending approvals,5.0,Continue routine monitoring
EXP-000310,PRJ-04688,23.1,Incomplete documentation,12.5,Complete document verification
EXP-000311,PRJ-02528,7.5,Pending approvals,5.0,Continue routine monitoring
EXP-000312,PRJ-01692,15.8,Pending approvals,6.6,Escalate pending approval
EXP-000313,PRJ-03154,8.0,Pending approvals,5.0,Continue routine monitoring
EXP-000314,PRJ-01755,21.5,Notification pending,9.3,Continue routine monitoring
EXP-000315,PRJ-02010,17.3,Rehabilitation delay,6.3,Accelerate rehabilitation workflow
EXP-000316,PRJ-02828,10.5,Pending approvals,5.0,Continue routine monitoring
EXP-000317,PRJ-02269,31.5,Compensation delay,11.3,Prioritize compensation processing
EXP-000318,PRJ-03186,68.1,Compensation delay,30.2,Escalate legal review
EXP-000319,PRJ-03735,58.8,Compensation delay,20.0,Escalate legal review
EXP-000320,PRJ-04581,9.7,Pending approvals,5.0,Continue routine monitoring
EXP-000321,PRJ-03924,9.4,Pending approvals,5.0,Continue routine monitoring
EXP-000322,PRJ-04781,25.4,Legal dispute,7.4,Escalate legal review
EXP-000323,PRJ-04996,13.8,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000324,PRJ-04267,7.8,Pending approvals,5.0,Continue routine monitoring
EXP-000325,PRJ-02359,51.4,Pending approvals,21.9,Prioritize compensation processing
EXP-000326,PRJ-02211,16.5,Possession pending,6.9,Continue routine monitoring
EXP-000327,PRJ-02353,7.4,Pending approvals,5.0,Continue routine monitoring
EXP-000328,PRJ-02286,21.4,Legal dispute,10.0,Escalate legal review
EXP-000329,PRJ-01604,14.8,Pending approvals,5.0,Continue routine monitoring
EXP-000330,PRJ-02907,21.4,Rehabilitation delay,8.8,Accelerate rehabilitation workflow
EXP-000331,PRJ-00033,62.1,Pending approvals,29.4,Prioritize compensation processing
EXP-000332,PRJ-00538,14.2,Pending approvals,5.0,Continue routine monitoring
EXP-000333,PRJ-02760,14.4,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000334,PRJ-02411,33.2,Pending approvals,12.3,Escalate legal review
EXP-000335,PRJ-01462,18.3,Incomplete documentation,8.6,Complete document verification
EXP-000336,PRJ-03965,38.1,Compensation delay,17.1,Escalate legal review
EXP-000337,PRJ-00087,14.0,Stakeholder bottleneck,6.5,Continue routine monitoring
EXP-000338,PRJ-01715,14.5,Notification pending,5.0,Continue routine monitoring
EXP-000339,PRJ-04045,7.7,Stakeholder bottleneck,5.0,Continue routine monitoring
EXP-000340,PRJ-03131,34.7,Pending approvals,13.5,Complete document verification
EXP-000341,PRJ-01013,17.6,Compensation delay,6.7,Prioritize compensation processing
